SHA code,SHA name,PCT code,PCT name,Practice code,Practice name,Deaf and uses sign language - total responses,Yes,No,% Yes,% No
Q31,North West SHA,5NR,Trafford ,P91006,URMSTON GROUP PRACTICE,308,0,308,0%,100%
Q31,North West SHA,5NR,Trafford ,P91007,TIMPERLEY H.C. (WESTWOOD),121,0,121,0%,100%
Q31,North West SHA,5NR,Trafford ,P91008,SHAY LANE MED' CTR (KELMAN),286,0,286,0%,100%
Q31,North West SHA,5NR,Trafford ,P91009,DAVYHULME MEDICAL CENTRE,428,0,428,0%,100%
Q31,North West SHA,5NR,Trafford ,P91011,SHAY LANE MED' CTR PATEL),130,0,130,0%,100%
Q31,North West SHA,5NR,Trafford ,P91012,PRIMROSE AVENUE SURGERY,215,0,215,0%,100%
Q31,North West SHA,5NR,Trafford ,P91013,BOUNDARY HOUSE MEDICAL CENTRE,114,0,114,0%,100%
Q31,North West SHA,5NR,Trafford ,P91014,WASHWAY ROAD MEDICAL CENTRE,299,2,297,1%,99%
Q31,North West SHA,5NR,Trafford ,P91016,WEST TIMPERLEY MEDICAL CENTRE,454,2,452,*,100%
Q31,North West SHA,5NR,Trafford ,P91017,BODMIN ROAD H.C.,410,0,410,0%,100%
Q31,North West SHA,5NR,Trafford ,P91018,DELAMERE MEDICAL PRACTICE,407,3,404,1%,99%
Q31,North West SHA,5NR,Trafford ,P91019,PARTINGTON CENTRAL SURG,301,0,301,0%,100%
Q31,North West SHA,5NR,Trafford ,P91020,THE BROOKS BAR MED.CTR.,286,2,284,1%,99%
Q31,North West SHA,5NR,Trafford ,P91021,FIRSWAY HEALTH CENTRE,200,1,199,1%,100%
Q31,North West SHA,5NR,Trafford ,P91025,THE NORRIS ROAD SURGERY,153,0,153,0%,100%
Q31,North West SHA,5NR,Trafford ,P91026,PARTINGTON FAMILY PRACTICE,364,0,364,0%,100%
Q31,North West SHA,5NR,Trafford ,P91027,THE ALI MEDICAL PRACTICE,208,0,208,0%,100%
Q31,North West SHA,5NR,Trafford ,P91029,FAIRVIEW MEDICAL CENTRE,167,0,167,0%,100%
Q31,North West SHA,5NR,Trafford ,P91030,BRIDGEWATER SURGERY,163,0,163,0%,100%
Q31,North West SHA,5NR,Trafford ,P91032,THE SURGERY (DERBYSHIRE RD SOUTH),115,0,115,0%,100%
Q31,North West SHA,5NR,Trafford ,P91035,CONWAY ROAD H.C. (MARCHI),111,0,111,0%,100%
Q31,North West SHA,5NR,Trafford ,P91036,CONWAY ROAD H.C. (MCGARRY),140,0,140,0%,100%
Q31,North West SHA,5NR,Trafford ,P91037,ALLISTON MEDICAL CENTRE,230,1,229,*,100%
Q31,North West SHA,5NR,Trafford ,P91603,BARRINGTON MEDICAL CENTRE,179,1,178,1%,99%
Q31,North West SHA,5NR,Trafford ,P91604,ST.JOHNS M.C. (DAVIES),273,0,273,0%,100%
Q31,North West SHA,5NR,Trafford ,P91605,TIMPERLEY H.C. (CAPLAN),93,0,93,0%,100%
Q31,North West SHA,5NR,Trafford ,P91615,GORSE HILL MEDICAL CTR,286,0,286,0%,100%
Q31,North West SHA,5NR,Trafford ,P91617,THE FAMILY SURGERY,89,0,89,0%,100%
Q31,North West SHA,5NR,Trafford ,P91619,SEYMOUR GROVE (BARAL) PRACTICE,124,0,124,0%,100%
Q31,North West SHA,5NR,Trafford ,P91623,THE VILLAGE SURGERY,109,0,109,0%,100%
Q31,North West SHA,5NR,Trafford ,P91625,GLOUCESTER HOUSE MED.CTR.,347,1,346,*,100%
Q31,North West SHA,5NR,Trafford ,P91627,BENNETT ST SURGERY,333,0,333,0%,100%
Q31,North West SHA,5NR,Trafford ,P91629,CHESTER ROAD SURGERY,215,0,215,0%,100%
Q31,North West SHA,5NR,Trafford ,P91630,SEYMOUR GROVE (KUNA) PRACTICE,217,1,216,*,100%
Q31,North West SHA,5NR,Trafford ,P91631,RIDDINGS FAMILY HEALTH CENTRE,103,0,103,0%,100%
Q31,North West SHA,5NR,Trafford ,P91632,QAMAR MEDICAL PRACTICE,194,0,194,0%,100%
Q31,North West SHA,5NR,Trafford ,P91633,GROVE MEDICAL PRACTICE,187,0,187,0%,100%
Q31,North West SHA,5NR,Trafford ,Y02129,TRAFFORD HEALTH CENTRE,266,0,266,0%,100%
Q31,North West SHA,5NT,Manchester ,P84004,FIVE OAKS FAMILIY PRACTICE,261,2,259,1%,99%
Q31,North West SHA,5NT,Manchester ,P84005,THE VALLANCE CENTRE,185,0,185,0%,100%
Q31,North West SHA,5NT,Manchester ,P84009,AILSA CRAIG MEDICAL CENTRE,261,2,259,1%,99%
Q31,North West SHA,5NT,Manchester ,P84010,THE BORCHARDT MEDICAL CENTRE,251,1,250,*,100%
Q31,North West SHA,5NT,Manchester ,P84012,NORTHENDEN GROUP PRACTICE,213,0,213,0%,100%
Q31,North West SHA,5NT,Manchester ,P84014,RK MEDICAL PRACTICE,235,0,235,0%,100%
Q31,North West SHA,5NT,Manchester ,P84016,LEVENSHULME MEDICAL PRACTICE,356,2,354,1%,99%
Q31,North West SHA,5NT,Manchester ,P84017,LADYBARN GROUP PRACTICE,319,2,317,1%,99%
Q31,North West SHA,5NT,Manchester ,P84018,MAULDETH MEDICAL CENTRE,162,0,162,0%,100%
Q31,North West SHA,5NT,Manchester ,P84019,VALENTINE MEDICAL CENTRE,338,3,335,1%,99%
Q31,North West SHA,5NT,Manchester ,P84020,PEEL HALL MEDICAL CENTRE,352,0,352,0%,100%
Q31,North West SHA,5NT,Manchester ,P84021,THE MAPLES MEDICAL CENTRE,244,0,244,0%,100%
Q31,North West SHA,5NT,Manchester ,P84022,KINGSWAY GROUP PRACTICE,321,2,319,1%,99%
Q31,North West SHA,5NT,Manchester ,P84023,SURREY LODGE PRACTICE,259,1,258,*,100%
Q31,North West SHA,5NT,Manchester ,P84024,BOWLAND MEDICAL PRACTICE,330,2,328,1%,99%
Q31,North West SHA,5NT,Manchester ,P84025,ST GEORGE'S MEDICAL CENTRE,378,2,376,1%,99%
Q31,North West SHA,5NT,Manchester ,P84026,SHIV LODGE MEDICAL CENTRE,206,8,198,4%,96%
Q31,North West SHA,5NT,Manchester ,P84027,WEST POINT MEDICAL CENTRE,373,1,372,*,100%
Q31,North West SHA,5NT,Manchester ,P84028,GORTON MEDICAL CENTRE,362,1,361,*,100%
Q31,North West SHA,5NT,Manchester ,P84029,BENCHILL MEDICAL PRACTICE,335,3,332,1%,99%
Q31,North West SHA,5NT,Manchester ,P84030,NEW COLLEGIATE MEDICAL CENTRE,356,8,348,2%,98%
Q31,North West SHA,5NT,Manchester ,P84032,DR MOKASHI,300,1,299,*,100%
Q31,North West SHA,5NT,Manchester ,P84033,HIGHER BLACKLEY MEDICAL CENTRE,303,2,301,1%,99%
Q31,North West SHA,5NT,Manchester ,P84034,BARLOW MEDICAL CENTRE,403,0,403,0%,100%
Q31,North West SHA,5NT,Manchester ,P84035,BODEY MEDICAL CENTRE,260,1,259,*,100%
Q31,North West SHA,5NT,Manchester ,P84037,DR CUNNINGHAM & PARTNERS,184,2,182,1%,99%
Q31,North West SHA,5NT,Manchester ,P84038,ASHVILLE SURGERY,228,1,227,*,100%
Q31,North West SHA,5NT,Manchester ,P84039,THE RANGE MEDICAL CENTRE,308,0,308,0%,100%
Q31,North West SHA,5NT,Manchester ,P84040,CONRAN MEDICAL CENTRE,324,0,324,0%,100%
Q31,North West SHA,5NT,Manchester ,P84041,MILL ST MEDICAL CENTRE,357,1,356,*,100%
Q31,North West SHA,5NT,Manchester ,P84042,FLORENCE HOUSE MEDICAL PRACTICE,209,3,206,1%,99%
Q31,North West SHA,5NT,Manchester ,P84043,CORNISHWAY GROUP PRACTICE,372,2,370,1%,99%
Q31,North West SHA,5NT,Manchester ,P84045,THE PARK MEDICAL CENTRE,368,3,365,1%,99%
Q31,North West SHA,5NT,Manchester ,P84046,CHEETHAM HILL PRIMARY CARE CENTRE,105,1,104,1%,99%
Q31,North West SHA,5NT,Manchester ,P84047,DROYLSDEN RD FAMILY PRACTICE,338,1,337,*,100%
Q31,North West SHA,5NT,Manchester ,P84048,TREGENNA GROUP PRACTICE,314,0,314,0%,100%
Q31,North West SHA,5NT,Manchester ,P84049,THE AVENUE MEDICAL CENTRE,327,1,326,*,100%
Q31,North West SHA,5NT,Manchester ,P84050,MOUNT ROAD SURGERY,295,3,292,1%,99%
Q31,North West SHA,5NT,Manchester ,P84051,DR GOODALL,261,0,261,0%,100%
Q31,North West SHA,5NT,Manchester ,P84052,WEST GORTON MEDICAL PRACTICE,118,0,118,0%,100%
Q31,North West SHA,5NT,Manchester ,P84053,ASHCROFT SURGERY,242,3,239,1%,99%
Q31,North West SHA,5NT,Manchester ,P84054,WHITLEY ROAD MEDICAL CENTRE,278,1,277,*,100%
Q31,North West SHA,5NT,Manchester ,P84055,MERSEYBANK SURGERY,81,1,80,1%,99%
Q31,North West SHA,5NT,Manchester ,P84056,PRINCESS ROAD SURGERY,317,2,315,1%,99%
Q31,North West SHA,5NT,Manchester ,P84057,KAYA PRACTICE,400,1,399,*,100%
Q31,North West SHA,5NT,Manchester ,P84059,THE FAMILY SURGERY,136,1,135,1%,99%
Q31,North West SHA,5NT,Manchester ,P84061,BROOKLANDS MEDICAL PRACTICE,206,0,206,0%,100%
Q31,North West SHA,5NT,Manchester ,P84062,BROOKDALE SURGERY,300,1,299,*,100%
Q31,North West SHA,5NT,Manchester ,P84063,DR CHEN & DAVIS,269,0,269,0%,100%
Q31,North West SHA,5NT,Manchester ,P84064,ANCOATS PRIMARY CARE CENTRE,264,2,262,1%,99%
Q31,North West SHA,5NT,Manchester ,P84065,HARPURHEY MEDICAL CENTRE,160,1,159,1%,99%
Q31,North West SHA,5NT,Manchester ,P84066,DAVID MEDICAL CENTRE - DR SHARMA,267,1,266,*,100%
Q31,North West SHA,5NT,Manchester ,P84067,HAZELDENE MEDICAL CENTRE,359,3,356,1%,99%
Q31,North West SHA,5NT,Manchester ,P84068,DR RADCLIFFE AND CHEW-GRAHAM,335,0,335,0%,100%
Q31,North West SHA,5NT,Manchester ,P84070,NEWTON HEATH MEDICAL CENTRE,411,1,410,*,100%
Q31,North West SHA,5NT,Manchester ,P84071,WILBRAHAM SURGERY,100,0,100,0%,100%
Q31,North West SHA,5NT,Manchester ,P84072,THE ROBERT DARBISHIRE PRACTICE,121,1,120,1%,99%
Q31,North West SHA,5NT,Manchester ,P84074,WELLFIELD MEDICAL CENTRE,319,4,315,1%,99%
Q31,North West SHA,5NT,Manchester ,P84605,TAVISTOCK SURGERY,74,1,73,1%,99%
Q31,North West SHA,5NT,Manchester ,P84611,DR CHIU,122,2,120,2%,98%
Q31,North West SHA,5NT,Manchester ,P84615,BOUNDARY MEDICAL PRACTICE,152,0,152,0%,100%
Q31,North West SHA,5NT,Manchester ,P84616,MOSS SIDE FAMILY MEDICAL PRACTICE,159,1,158,1%,99%
Q31,North West SHA,5NT,Manchester ,P84623,ALEESHAN MEDICAL CENTRE,85,2,83,2%,98%
Q31,North West SHA,5NT,Manchester ,P84626,WILMSLOW ROAD SURGERY,192,2,190,1%,99%
Q31,North West SHA,5NT,Manchester ,P84627,DR TIWARI'S PRACTICE,262,0,262,0%,100%
Q31,North West SHA,5NT,Manchester ,P84630,THE ARCH MEDICAL PRACTICE,250,0,250,0%,100%
Q31,North West SHA,5NT,Manchester ,P84631,ARTANE MEDICAL CENTRE,100,0,100,0%,100%
Q31,North West SHA,5NT,Manchester ,P84635,THE ALEXANDRA RANGE,77,0,77,0%,100%
Q31,North West SHA,5NT,Manchester ,P84637,THE MAZHARI & KHAN PRACTICE,302,3,299,1%,99%
Q31,North West SHA,5NT,Manchester ,P84639,FALLOWFIELD MEDICAL CENTRE,128,0,128,0%,100%
Q31,North West SHA,5NT,Manchester ,P84640,BELLOTT STREET SURGERY,73,0,73,0%,100%
Q31,North West SHA,5NT,Manchester ,P84642,DR DASS'S PRACTICE,113,0,113,0%,100%
Q31,North West SHA,5NT,Manchester ,P84644,PARKSIDE SURGERY,196,2,194,1%,99%
Q31,North West SHA,5NT,Manchester ,P84645,PARKVIEW MEDICAL CENTRE,100,0,100,0%,100%
Q31,North West SHA,5NT,Manchester ,P84646,HULME MEDICAL CENTRE,85,0,85,0%,100%
Q31,North West SHA,5NT,Manchester ,P84650,THE ALEXANDRA PRACTICE,263,0,263,0%,100%
Q31,North West SHA,5NT,Manchester ,P84651,NORTHERN MOOR MEDICAL PRACTICE,301,0,301,0%,100%
Q31,North West SHA,5NT,Manchester ,P84652,CORKLAND ROAD MEDICAL PRACTICE,278,1,277,*,100%
Q31,North West SHA,5NT,Manchester ,P84659,DR HUSSAIN'S PRACTICE,250,2,248,1%,99%
Q31,North West SHA,5NT,Manchester ,P84661,C VITES MEMORIAL CENTRE,271,1,270,*,100%
Q31,North West SHA,5NT,Manchester ,P84662,VAISHALI MEDICAL CENTRE,150,0,150,0%,100%
Q31,North West SHA,5NT,Manchester ,P84663,THE VILLAGE SURGERY,216,1,215,*,100%
Q31,North West SHA,5NT,Manchester ,P84665,AL-SHIFA MEDICAL CENTRE,175,1,174,1%,99%
Q31,North West SHA,5NT,Manchester ,P84666,PLATT LANE SURGERY,306,2,304,1%,99%
Q31,North West SHA,5NT,Manchester ,P84668,DR CHAUDURY'S PRACTICE,220,5,215,2%,98%
Q31,North West SHA,5NT,Manchester ,P84669,CITY ROAD SURGERY,142,2,140,1%,99%
Q31,North West SHA,5NT,Manchester ,P84672,WOODLANDS MEDICAL PRACTICE,115,1,114,1%,99%
Q31,North West SHA,5NT,Manchester ,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,179,3,176,2%,98%
Q31,North West SHA,5NT,Manchester ,P84676,OSWALD ROAD MEDICAL PRACTICE,271,0,271,0%,100%
Q31,North West SHA,5NT,Manchester ,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,374,0,374,0%,100%
Q31,North West SHA,5NT,Manchester ,P84678,DIDSBURY MEDICAL CENTRE - DR WHITAKER,274,1,273,*,100%
Q31,North West SHA,5NT,Manchester ,P84679,DR ML SAHA'S PRACTICE,167,0,167,0%,100%
Q31,North West SHA,5NT,Manchester ,P84682,BURNAGE HEALTHCARE PRACTICE,91,0,91,0%,100%
Q31,North West SHA,5NT,Manchester ,P84683,THE DOC'S SURGERY,325,1,324,*,100%
Q31,North West SHA,5NT,Manchester ,P84684,JOLLY MEDICAL CENTRE,214,1,213,*,100%
Q31,North West SHA,5NT,Manchester ,P84688,DR SREEDHARAN'S PRACTICE,116,1,115,1%,99%
Q31,North West SHA,5NT,Manchester ,P84689,LONGSIGHT MEDICAL PRACTICE,236,2,234,1%,99%
Q31,North West SHA,5NT,Manchester ,P84690,DAM HEAD MEDICAL CENTRE,112,0,112,0%,100%
Q31,North West SHA,5NT,Manchester ,Y00402,DAVID MEDCIAL CENTRE- DR SS PARIHAR,24,0,24,0%,100%
Q31,North West SHA,5NT,Manchester ,Y00490,VIOLENT PATIENT ENHANCED SERVICE 1,2,~,~,~,~
Q31,North West SHA,5NT,Manchester ,Y01695,OLD CHURCH STREET MEDICAL PRACTICE,142,1,141,1%,99%
Q31,North West SHA,5NT,Manchester ,Y02325,CHARLESTOWN MEDICAL PRACTICE,184,1,183,1%,99%
Q31,North West SHA,5NT,Manchester ,Y02520,SIMPSON  MEDICAL PRACTICE,167,1,166,1%,99%
Q31,North West SHA,5NT,Manchester ,Y02849,CITY CENTRE HEALTH CENTRE,83,0,83,0%,100%
Q31,North West SHA,5NT,Manchester ,Y02890,THE HAWTHORN MEDICAL CENTRE,20,0,20,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81005,DR CH MOWBRAY'S PRACTICE,364,0,364,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81022,DR SD GUNN'S PRACTICE,92,0,92,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81051,DR DM ANDREWS' PRACTICE,311,1,310,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81058,DR RS POLLOCK'S PRACTICE,130,0,130,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81061,DR A CALOW'S PRACTICE,294,2,292,1%,99%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81109,DR S AHMED'S PRACTICE,130,0,130,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81125,DR IJ MOODIE'S PRACTICE,363,0,363,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81140,DR E AHMED'S PRACTICE,134,0,134,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81155,DR TL PHILLIPS' PRACTICE,295,0,295,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81167,DR MK DATTA'S PRACTICE,222,1,221,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81204,DR SD JADHAV'S PRACTICE,92,0,92,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81214,DR DG GEBBIE'S PRACTICE,89,1,88,1%,99%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81607,DR JJC MARLBOROUGH'S PRACTICE,249,1,248,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81622,DR IH BHOJANI'S PRACTICE,213,1,212,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81633,DR AK GUPTA'S PRACTICE,106,0,106,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81643,DR Z BUX'S PRACTICE,250,0,250,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81673,DR RPS VIRDI'S PRACTICE,77,1,76,1%,99%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81683,DR A ALAM'S PRACTICE,169,1,168,1%,99%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81694,DR S CLARKSON'S PRACTICE,263,0,263,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81704,DR I TIMSON'S PRACTICE,262,1,261,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81707,DR N NAGPAL'S PRACTICE,234,1,233,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81709,ROMAN ROAD HEALTH CENTRE,157,1,156,1%,99%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81712,DR AM HIRST'S PRACTICE,258,1,257,*,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81717,DR BC RAKSHIT'S PRACTICE,77,3,74,4%,96%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81719,DR MU DIN'S PRACTICE,85,0,85,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81721,DR P JAGADESHAM'S PRACTICE,95,0,95,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81724,PRINGLE STREET SURGERY,127,0,127,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81734,DR AJM MURDOCH'S PRACTICE,99,0,99,0%,100%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,P81771,DR RC RAUTRAY'S PRACTICE,366,2,364,1%,99%
Q31,North West SHA,TAP,Blackburn with Darwen Teaching Care Trust Plus,Y02657,BENTHAM ROAD HEALTH CENTRE,213,2,211,1%,99%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81005,DR RM JAGGS-FOWLER & PARTNERS,316,0,316,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81007,WINTERTON MEDICAL PRACTICE,247,0,247,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81022,CAMBRIDGE AVENUE MEDICAL CENTRE,220,0,220,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81026,KENNEDY JCBS,170,1,169,1%,99%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81043,DR RM FALK AND PARTNERS,119,0,119,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81045,ASHBY TURN PRIMARY CARE PARTNERS,250,0,250,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81063,BRIDGE STREET SURGERY,138,1,137,1%,99%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81064,MELROSE JR,326,0,326,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81065,TRENT VIEW MEDICAL PRACTICE,219,0,219,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81090,RAHA AK,100,0,100,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81096,BASU DK,38,0,38,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81098,CAUVERY MEDICAL CENTRE,97,0,97,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81099,KIRTON LINDSEY SURGERY,347,0,347,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81109,RIVERSIDE SURGERY,127,0,127,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81113,CEDAR MEDICAL PRACTICE,87,0,87,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81118,WEST COMMON LANE MEDICAL CENTRE,131,1,130,1%,99%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81617,GOOD HOPE MEDICAL PRACTICE,119,1,118,1%,99%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81628,VORA A,117,0,117,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81630,HAYES GJ,191,1,190,1%,99%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81647,MURALEEDHARAN A,119,0,119,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,B81686,BALASANTHIRAN S,321,0,321,0%,100%
Q32,Yorkshire and the Humber SHA,5EF,North Lincolnshire ,Y02787,MARKET HILL 8 TO 8 CENTRE,60,1,59,2%,98%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87002,DINNINGTON GROUP PRACTICE,320,0,320,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87003,WOODSTOCK BOWER GROUP PRACTICE,387,2,385,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87004,KIVETON PARK MEDICAL PRACTICE,178,0,178,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87005,ST ANN'S MEDICAL CENTRE,380,0,380,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87006,KILNHURST SURGERY,98,1,97,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87007,STAG MEDICAL CENTRE,338,1,337,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87008,SWALLOWNEST HEALTH CENTRE,327,2,325,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87009,BRINSWORTH MEDICAL CENTRE,386,2,384,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87010,YORK ROAD SURGERY,168,1,167,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87012,BROOM LANE MEDICAL CENTRE,221,1,220,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87013,PARKGATE MEDICAL CENTRE,337,0,337,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87014,TREETON MEDICAL CENTRE,372,1,371,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87015,WICKERSLEY HEALTH CENTRE,262,1,261,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87016,MORTHEN ROAD GROUP PRACTICE,413,1,412,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87017,CLIFTON MEDICAL CENTRE,237,1,236,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87018,HIGH STREET SURGERY,366,0,366,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87019,WATH HEALTH CENTRE,102,0,102,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87020,GREENSIDE SURGERY,105,0,105,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87022,VILLAGE SURGERY,193,0,193,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87023,DALTON HEALTH CENTRE,124,0,124,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87024,RAWMARSH HEALTH CENTRE,132,0,132,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87029,MARKET SURGERY,118,0,118,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87030,CROWN STREET SURGERY,282,0,282,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87031,DR SHRIVASTAVA'S PRACTICE,342,1,341,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87601,WEST HOUSE PRACTICE RCHS,2,~,~,~,~
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87603,GREASBROUGH MEDICAL CENTRE,84,0,84,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87604,THORPE HESLEY SURGERY,212,1,211,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87606,QUEEN'S MEDICAL CENTRE,239,1,238,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87608,SHAKESPEARE ROAD SURGERY,191,2,189,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87609,ROSEHILL MEDICAL CENTRE RCHS,299,1,298,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87610,CANKLOW ROAD SURGERY RCHS,124,0,124,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87611,BADSLEY MOOR LANE SURGERY,207,0,207,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87612,SURGERY OF LIGHT,110,0,110,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87616,BLYTH ROAD MEDICAL CENTRE,108,0,108,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87617,THRYBERGH MEDICAL CENTRE,155,1,154,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87618,DR MB ZUBAIRU'S PRACTICE,270,0,270,0%,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87620,MANOR FIELD SURGERY,317,1,316,*,100%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87621,BROOM VALLEY ROAD SURGERY,125,1,124,1%,99%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,C87622,GATE SURGERY RCHS,95,6,89,6%,94%
Q32,Yorkshire and the Humber SHA,5H8,Rotherham ,Y02576,BRAMPTON PRIMARY CARE MEDICAL CENTRE,129,0,129,0%,100%
